age,annual_income,credit_score,debt_to_income_ratio,credit_utilization_rate,payment_history_score,loan_amount,employment_length_years,revolving_balance,num_credit_lines,home_ownership,loan_intent,default_risk
59,65300.0,788,0.208,0.559,96.1,23600.0,0,4838.0,4,RENT,VENTURE,1
49,60700.0,666,0.116,0.275,73.6,9800.0,1,4487.0,9,RENT,EDUCATION,1
35,48500.0,615,0.195,0.477,83.0,17400.0,1,7029.0,9,RENT,DEBTCONSOLIDATION,1
63,153000.0,604,0.288,0.25,85.8,18700.0,14,8771.0,3,RENT,DEBTCONSOLIDATION,0
28,36600.0,694,0.068,0.225,75.6,13100.0,0,1475.0,5,RENT,PERSONAL,0
41,150200.0,570,0.094,0.274,90.5,26100.0,10,6466.0,4,RENT,MEDICAL,0
59,80800.0,651,0.296,0.19,81.0,75000.0,1,4346.0,3,MORTGAGE,PERSONAL,0
39,25900.0,694,0.03,0.48,95.1,6100.0,2,3861.0,2,RENT,EDUCATION,0
43,74700.0,767,0.153,0.068,74.0,17800.0,0,767.0,5,RENT,VENTURE,0
31,18000.0,720,0.341,0.264,71.7,17600.0,0,780.0,7,MORTGAGE,EDUCATION,1
31,87100.0,616,0.334,0.49,79.7,11300.0,0,9006.0,6,RENT,PERSONAL,1
44,101800.0,758,0.452,0.548,80.2,8400.0,2,11580.0,6,RENT,MEDICAL,1
56,42000.0,647,0.025,0.601,71.3,8100.0,3,8707.0,4,RENT,DEBTCONSOLIDATION,1
60,64500.0,577,0.047,0.217,83.3,64200.0,1,2840.0,5,MORTGAGE,EDUCATION,0
44,193400.0,657,0.268,0.581,74.1,14900.0,13,44097.0,5,OWN,DEBTCONSOLIDATION,0
23,44200.0,777,0.122,0.533,100.0,27200.0,4,3742.0,7,RENT,DEBTCONSOLIDATION,1
42,31700.0,682,0.174,0.559,81.3,11000.0,10,5183.0,7,MORTGAGE,VENTURE,0
22,145700.0,670,0.273,0.824,86.4,18100.0,0,37893.0,4,RENT,PERSONAL,1
44,194400.0,792,0.15,0.438,67.0,19200.0,0,23044.0,4,RENT,VENTURE,1
64,60000.0,562,0.006,0.504,88.6,11300.0,9,5397.0,6,MORTGAGE,MEDICAL,0
